"id","day_id","lesson_id","instructor1_id","instructor2_id","num_places","num_weeks","week_price","slot","time_start","time_end","active","active_next","category_id","product_id","price"
3369,6,7,5671,1,9,13,9.25,"A","10:50:00","11:20:00",1,1,18,11594,133.25
3372,2,7,6037,1,9,13,8.85,"A","18:50:00","19:20:00",1,1,18,11597,133.25
3373,5,7,5367,1,10,13,8.85,"A","18:50:00","19:20:00",1,1,18,11598,133.25
3374,1,6,5594,1,10,10,8.85,"A","19:40:00","20:10:00",1,1,18,11599,102.50
3375,2,6,2351,1,10,13,8.85,"A","16:30:00","17:00:00",1,1,18,11600,133.25
3376,3,6,2370,1,10,13,8.85,"A","16:30:00","17:00:00",1,1,18,11601,133.25
3377,3,6,2370,1,9,13,8.85,"A","19:35:00","20:05:00",1,1,18,11602,133.25
3378,4,6,2386,1,10,13,8.85,"A","19:35:00","20:05:00",1,1,18,11603,133.25
3379,5,6,2359,1,9,13,8.85,"A","16:30:00","17:00:00",1,1,18,11604,133.25
3380,5,6,5368,1,10,13,8.85,"A","18:50:00","19:20:00",1,1,18,11605,133.25
3381,5,6,5368,1,10,13,8.85,"A","20:00:00","20:30:00",1,1,18,11606,133.25
3382,6,6,2377,1,9,13,9.25,"A","10:50:00","11:20:00",1,1,18,11607,133.25
3385,2,6,5671,1,9,13,8.85,"A","18:50:00","19:20:00",1,1,18,11610,133.25
3386,2,11,2373,5673,9,13,8.85,"A","18:50:00","19:20:00",1,1,18,11611,133.25
3387,3,11,2366,5673,9,13,8.85,"A","19:35:00","20:05:00",1,1,18,11612,133.25
3388,5,9,5594,5673,9,13,8.85,"A","16:30:00","17:00:00",1,1,18,11613,133.25
3389,6,9,5394,5674,8,13,9.25,"A","10:50:00","11:20:00",1,1,18,11614,133.25
3392,2,9,5594,1,9,13,8.85,"A","18:50:00","19:20:00",1,1,18,11617,133.25
3393,3,9,2386,1,9,13,8.85,"A","19:35:00","20:05:00",1,1,18,11618,133.25
3394,5,11,2351,2383,9,13,8.85,"A","16:30:00","17:00:00",1,1,18,11619,133.25
3395,6,11,5234,5658,9,13,9.25,"A","10:50:00","11:20:00",1,1,18,11620,133.25
3398,2,9,5594,6041,10,13,8.85,"A","16:30:00","17:00:00",1,1,18,11623,133.25
3399,1,9,2386,5672,10,10,8.85,"A","19:40:00","20:10:00",1,1,18,11624,102.50
3400,3,9,5672,6040,10,13,8.85,"A","16:30:00","17:00:00",1,1,18,11625,133.25
3401,4,9,2351,5669,10,13,8.85,"A","19:35:00","20:05:00",1,1,18,11626,133.25
3402,5,9,5156,5658,10,13,8.85,"A","18:50:00","19:20:00",1,1,18,11627,133.25
3406,6,7,2373,5386,10,13,8.85,"A","15:25:00","15:55:00",1,1,18,11631,133.25
3407,2,5,2359,1,16,13,8.85,"A","20:00:00","20:30:00",1,1,18,11632,133.25
3408,4,5,2386,1,16,13,8.85,"A","20:45:00","21:15:00",1,1,18,11633,133.25
3409,6,5,2386,1,16,13,9.25,"A","09:35:00","10:05:00",1,1,18,11634,133.25
3410,2,4,2373,1,16,13,8.85,"A","20:00:00","20:30:00",1,1,18,11635,133.25
3411,4,4,2359,1,16,13,8.85,"A","20:45:00","21:15:00",1,1,18,11636,133.25
3412,6,4,5234,1,16,13,9.25,"A","09:35:00","10:05:00",1,1,18,11637,133.25
3413,2,2,6037,1,8,13,8.85,"A","20:00:00","20:30:00",1,1,18,11638,133.25
3414,4,2,2351,1,8,13,8.85,"A","20:45:00","21:15:00",1,1,18,11639,133.25
3415,6,2,2377,1,8,13,9.25,"A","09:35:00","10:05:00",1,1,18,11640,133.25
3418,1,3,5156,1,10,10,8.85,"A","19:40:00","20:10:00",1,1,18,11643,102.50
3419,2,3,2359,1,10,13,8.85,"A","16:30:00","17:00:00",1,1,18,11644,133.25
3420,2,3,2359,1,9,13,8.85,"A","18:50:00","19:20:00",1,1,18,11645,133.25
3421,3,3,2351,1,10,13,8.85,"A","16:30:00","17:00:00",1,1,18,11646,133.25
3422,3,3,5672,1,9,13,8.85,"A","19:35:00","20:05:00",1,1,18,11647,133.25
3423,4,3,5425,1,10,13,8.85,"A","19:35:00","20:05:00",1,1,18,11648,133.25
3424,5,3,5394,1,9,13,8.85,"A","16:30:00","17:00:00",1,1,18,11649,133.25
3425,5,3,2386,1,10,13,8.85,"A","18:50:00","19:20:00",1,1,18,11650,133.25
3426,5,3,5367,1,10,13,8.85,"A","20:00:00","20:30:00",1,1,18,11651,133.25
3427,6,3,2386,1,9,13,9.25,"A","10:50:00","11:20:00",1,1,18,11652,133.25
3513,7,9,NULL,NULL,9,13,NULL,"A","12:10:00","12:40:00",1,1,18,35175,133.25
3514,7,11,NULL,NULL,9,13,NULL,"A","12:10:00","12:40:00",1,1,18,35176,133.25
3515,7,6,NULL,NULL,9,13,NULL,"A","12:10:00","12:40:00",1,1,18,35177,133.25
3516,7,7,NULL,NULL,9,13,NULL,"A","12:10:00","12:40:00",1,1,18,35178,133.25
3517,7,3,NULL,NULL,9,13,NULL,"A","12:10:00","12:40:00",1,1,18,35179,133.25
3511,5,3,NULL,NULL,13,10,NULL,"A","14:20:00","14:50:00",1,1,29,27193,80.00
3496,5,17,NULL,NULL,1,1,NULL,"A","13:00:00","13:30:00",0,0,18,11794,123.00
3498,6,7,NULL,NULL,10,13,NULL,"A","14:15:00","14:45:00",1,1,18,22275,133.25
3501,6,18,NULL,NULL,9,12,NULL,"A","11:25:00","11:55:00",1,1,19,22290,104.40
3502,6,18,NULL,NULL,9,12,NULL,"A","12:00:00","12:30:00",1,1,19,22291,104.40
3503,6,18,NULL,NULL,9,12,NULL,"A","12:35:00","13:05:00",1,1,19,22292,104.40
3504,5,11,NULL,NULL,9,13,NULL,"A","19:25:00","19:55:00",1,1,18,22963,133.25
3506,5,9,NULL,NULL,15,10,NULL,"A","14:20:00","14:50:00",1,1,29,23501,80.00
3507,5,11,NULL,NULL,12,10,NULL,"A","14:20:00","14:50:00",1,1,29,23504,80.00
3508,5,6,NULL,NULL,13,10,NULL,"A","14:20:00","14:50:00",1,1,29,23505,80.00
3509,7,9,NULL,NULL,8,13,NULL,"A","01:00:00","02:00:00",1,1,88,24331,2.00
3518,5,19,NULL,NULL,10,13,NULL,"A","20:00:00","20:30:00",1,1,18,42164,133.25
3520,5,19,NULL,NULL,0,1,NULL,"A","20:00:00","20:30:00",0,0,18,42259,143.00
